cpusnort,psize,tcpflows,tput
1,64,256,539
1,64,1000,559
1,64,4000,506
1,64,8000,481
1,64,16000,539
1,64,32000,538
1,128,256,431
1,128,1000,400
1,128,4000,455
1,128,8000,480
1,128,16000,490
1,128,32000,517
1,256,256,563
1,256,1000,520
1,256,4000,549
1,256,8000,579
1,256,16000,516
1,256,32000,569
1,512,256,561
1,512,1000,562
1,512,4000,560
1,512,8000,399
1,512,16000,472
1,512,32000,571
1,1024,256,520
1,1024,1000,573
1,1024,4000,567
1,1024,8000,425
1,1024,16000,532
1,1024,32000,408
2,64,256,1043
2,64,1000,1022
2,64,4000,1045
2,64,8000,961
2,64,16000,965
2,64,32000,1015
2,128,256,958
2,128,1000,953
2,128,4000,849
2,128,8000,843
2,128,16000,1036
2,128,32000,967
2,256,256,971
2,256,1000,940
2,256,4000,956
2,256,8000,933
2,256,16000,939
2,256,32000,989
2,512,256,953
2,512,1000,946
2,512,4000,973
2,512,8000,945
2,512,16000,899
2,512,32000,871
2,1024,256,932
2,1024,1000,942
2,1024,4000,911
2,1024,8000,947
2,1024,16000,949
2,1024,32000,977
